representacao,tipo,algoritmo,vertices,densidade,execucao,tempo_ns,memoria_bytes
LA,denso,Bellman-Ford,200,0.80,5,10382300,6477184
MA,denso,Bellman-Ford,200,0.80,5,6738000,6173080
LA,denso,Dijkstra,200,0.80,6,338900,6477184
MA,denso,Dijkstra,200,0.80,6,720300,6173080
LA,denso,Bellman-Ford,200,0.80,6,10663000,6477184
MA,denso,Bellman-Ford,200,0.80,6,6827500,6173080
LA,denso,Dijkstra,200,0.80,7,331500,6477184
MA,denso,Dijkstra,200,0.80,7,727100,6173080
LA,denso,Bellman-Ford,200,0.80,7,9897200,6477184
MA,denso,Bellman-Ford,200,0.80,7,6581600,6173080
LA,denso,Dijkstra,200,0.80,8,310700,6477184
MA,denso,Dijkstra,200,0.80,8,1799100,6173080
LA,denso,Bellman-Ford,200,0.80,8,10039500,6477184
MA,denso,Bellman-Ford,200,0.80,8,7089600,6173080
LA,denso,Dijkstra,200,0.80,9,403600,6477184
MA,denso,Dijkstra,200,0.80,9,788200,6173080
LA,denso,Bellman-Ford,200,0.80,9,9847600,6477184
MA,denso,Bellman-Ford,200,0.80,9,7246800,6173080
LA,denso,Dijkstra,200,0.80,10,391200,6477184
MA,denso,Dijkstra,200,0.80,10,767500,6173080
LA,denso,Bellman-Ford,200,0.80,10,9807900,6477184
MA,denso,Bellman-Ford,200,0.80,10,5841500,6173080
LA,denso,Dijkstra,200,1.00,1,331900,3336776
MA,denso,Dijkstra,200,1.00,1,602800,5003488
LA,denso,Bellman-Ford,200,1.00,1,12570200,3336776
MA,denso,Bellman-Ford,200,1.00,1,6912100,5003488
LA,denso,Dijkstra,200,1.00,2,409700,3336776
MA,denso,Dijkstra,200,1.00,2,535800,5003488
LA,denso,Bellman-Ford,200,1.00,2,12332500,3336776
MA,denso,Bellman-Ford,200,1.00,2,6457400,5003488
LA,denso,Dijkstra,200,1.00,3,520700,3336776
MA,denso,Dijkstra,200,1.00,3,570500,5003488
LA,denso,Bellman-Ford,200,1.00,3,10938800,3336776
MA,denso,Bellman-Ford,200,1.00,3,6508000,5003488
LA,denso,Dijkstra,200,1.00,4,1157400,3336776
MA,denso,Dijkstra,200,1.00,4,900200,5003488
LA,denso,Bellman-Ford,200,1.00,4,14281400,3336776
MA,denso,Bellman-Ford,200,1.00,4,10235600,5003488
LA,denso,Dijkstra,200,1.00,5,690100,3336776
MA,denso,Dijkstra,200,1.00,5,779600,5003488
LA,denso,Bellman-Ford,200,1.00,5,13469600,3336776
MA,denso,Bellman-Ford,200,1.00,5,8143600,5003488
